variable,value,queen,week,subject
fungus,0,10,16,10_8
fungus,0.2894,0,17,0_1
fungus,0.2054,0,17,0_2
fungus,0.2873,0,17,0_3
fungus,0,0,17,0_4
fungus,0,0,17,0_5
fungus,0,0,17,0_6
fungus,0.27515,1,17,1_1
fungus,0.4492,1,17,1_2
fungus,0.3088,1,17,1_3
fungus,0,1,17,1_4
fungus,0,1,17,1_5
fungus,0,1,17,1_6
fungus,0,1,17,1_7
fungus,0.1298,5,17,5_1
fungus,0.2842,5,17,5_2
fungus,0,5,17,5_3
fungus,0,5,17,5_4
fungus,0,5,17,5_5
fungus,0.1468,10,17,10_1
fungus,0.1709,10,17,10_2
fungus,0,10,17,10_3
fungus,0,10,17,10_4
fungus,0,10,17,10_5
fungus,0,10,17,10_6
fungus,0,10,17,10_7
fungus,0,10,17,10_8
fungus,0.2891,0,18,0_1
fungus,0.2155,0,18,0_2
fungus,0.3,0,18,0_3
fungus,0,0,18,0_4
fungus,0,0,18,0_5
fungus,0,0,18,0_6
fungus,0.2714,1,18,1_1
fungus,0.4884,1,18,1_2
fungus,0.2973,1,18,1_3
fungus,0,1,18,1_4
fungus,0,1,18,1_5
fungus,0,1,18,1_6
fungus,0,1,18,1_7
fungus,0.1363,5,18,5_1
fungus,0.2837,5,18,5_2
fungus,0,5,18,5_3
fungus,0,5,18,5_4
fungus,0,5,18,5_5
fungus,0.1299,10,18,10_1
fungus,0.1678,10,18,10_2
fungus,0,10,18,10_3
fungus,0,10,18,10_4
fungus,0,10,18,10_5
fungus,0,10,18,10_6
fungus,0,10,18,10_7
fungus,0,10,18,10_8
fungus,0.2736,0,19,0_1
fungus,0.20335,0,19,0_2
fungus,0.2901,0,19,0_3
fungus,0,0,19,0_4
fungus,0,0,19,0_5
fungus,0,0,19,0_6
fungus,0.2621,1,19,1_1
fungus,0.11135,1,19,1_2
fungus,0.2926,1,19,1_3
fungus,0,1,19,1_4
fungus,0,1,19,1_5
fungus,0,1,19,1_6
fungus,0,1,19,1_7
fungus,0.13375,5,19,5_1
fungus,0.2573,5,19,5_2
fungus,0,5,19,5_3
fungus,0,5,19,5_4
fungus,0,5,19,5_5
fungus,0,10,19,10_1
fungus,0,10,19,10_2
fungus,0,10,19,10_3
fungus,0,10,19,10_4
fungus,0,10,19,10_5
fungus,0,10,19,10_6
fungus,0,10,19,10_7
fungus,0,10,19,10_8
fungus,0.2671,0,20,0_1
fungus,0.1912,0,20,0_2
fungus,0.2802,0,20,0_3
fungus,0,0,20,0_4
fungus,0,0,20,0_5
fungus,0,0,20,0_6
fungus,0.2491,1,20,1_1
fungus,0.4657,1,20,1_2
fungus,0.2516,1,20,1_3
fungus,0,1,20,1_4
fungus,0,1,20,1_5
fungus,0,1,20,1_6
fungus,0,1,20,1_7
fungus,0.1312,5,20,5_1
fungus,0.2421,5,20,5_2
fungus,0,5,20,5_3
fungus,0,5,20,5_4
fungus,0,5,20,5_5
fungus,0,10,20,10_1
fungus,0,10,20,10_2
fungus,0,10,20,10_3
fungus,0,10,20,10_4
fungus,0,10,20,10_5
fungus,0,10,20,10_6
fungus,0,10,20,10_7
fungus,0,10,20,10_8
fungus,0.264,0,21,0_1
fungus,0.1844,0,21,0_2
fungus,0.2735,0,21,0_3
fungus,0,0,21,0_4
fungus,0,0,21,0_5
fungus,0,0,21,0_6
fungus,0.2495,1,21,1_1
fungus,0.4518,1,21,1_2
fungus,0.2479,1,21,1_3
fungus,0,1,21,1_4
fungus,0,1,21,1_5
fungus,0,1,21,1_6
fungus,0,1,21,1_7
fungus,0.1254,5,21,5_1
fungus,0.2411,5,21,5_2
fungus,0,5,21,5_3
fungus,0,5,21,5_4
fungus,0,5,21,5_5
fungus,0,10,21,10_1
fungus,0,10,21,10_2
fungus,0,10,21,10_3
fungus,0,10,21,10_4
fungus,0,10,21,10_5
fungus,0,10,21,10_6
fungus,0,10,21,10_7
fungus,0,10,21,10_8
fungus,0.26225,0,22,0_1
fungus,0.1796,0,22,0_2
fungus,0.2675,0,22,0_3
fungus,0,0,22,0_4
fungus,0,0,22,0_5
fungus,0,0,22,0_6
fungus,0.2377,1,22,1_1
fungus,0.4444,1,22,1_2
fungus,0.237,1,22,1_3
fungus,0,1,22,1_4
fungus,0,1,22,1_5
fungus,0,1,22,1_6
fungus,0,1,22,1_7
fungus,0.1203,5,22,5_1
fungus,0.2321,5,22,5_2
fungus,0,5,22,5_3
fungus,0,5,22,5_4
fungus,0,5,22,5_5
fungus,0,10,22,10_1
fungus,0,10,22,10_2
fungus,0,10,22,10_3
fungus,0,10,22,10_4
fungus,0,10,22,10_5
fungus,0,10,22,10_6
fungus,0,10,22,10_7
fungus,0,10,22,10_8
fungus,0.2605,0,23,0_1
fungus,0.1764,0,23,0_2
fungus,0.2608,0,23,0_3
fungus,0,0,23,0_4
fungus,0,0,23,0_5
fungus,0,0,23,0_6
fungus,0.146,1,23,1_1
fungus,0.4133,1,23,1_2
fungus,0.2332,1,23,1_3
fungus,0,1,23,1_4
fungus,0,1,23,1_5
fungus,0,1,23,1_6
fungus,0,1,23,1_7
fungus,0.2234,5,23,5_1
fungus,0,5,23,5_2
fungus,0,5,23,5_3
fungus,0,5,23,5_4
fungus,0,5,23,5_5
fungus,0,10,23,10_1
fungus,0,10,23,10_2
fungus,0,10,23,10_3
fungus,0,10,23,10_4
fungus,0,10,23,10_5
fungus,0,10,23,10_6
fungus,0,10,23,10_7
fungus,0,10,23,10_8
fungus,0.2416,0,24,0_1
fungus,0.1632,0,24,0_2
fungus,0.2502,0,24,0_3
fungus,0,0,24,0_4
fungus,0,0,24,0_5
fungus,0,0,24,0_6
fungus,0.383,1,24,1_1
fungus,0.222,1,24,1_2
fungus,0,1,24,1_3
fungus,0,1,24,1_4
fungus,0,1,24,1_5
fungus,0,1,24,1_6
fungus,0,1,24,1_7
fungus,0.2239,5,24,5_1
fungus,0,5,24,5_2
fungus,0,5,24,5_3
fungus,0,5,24,5_4
fungus,0,5,24,5_5
fungus,0,10,24,10_1
fungus,0,10,24,10_2
fungus,0,10,24,10_3
fungus,0,10,24,10_4
fungus,0,10,24,10_5
fungus,0,10,24,10_6
fungus,0,10,24,10_7
fungus,0,10,24,10_8
fungus,0.2105,0,25,0_1
fungus,0.1451,0,25,0_2
fungus,0.2301,0,25,0_3
fungus,0,0,25,0_4
fungus,0,0,25,0_5
fungus,0,0,25,0_6
fungus,0.3821,1,25,1_1
fungus,0.187,1,25,1_2
fungus,0,1,25,1_3
fungus,0,1,25,1_4
fungus,0,1,25,1_5
fungus,0,1,25,1_6
fungus,0,1,25,1_7
fungus,0.2166,5,25,5_1
fungus,0,5,25,5_2
fungus,0,5,25,5_3
fungus,0,5,25,5_4
fungus,0,5,25,5_5
fungus,0,10,25,10_1
fungus,0,10,25,10_2
fungus,0,10,25,10_3
fungus,0,10,25,10_4
fungus,0,10,25,10_5
fungus,0,10,25,10_6
fungus,0,10,25,10_7
fungus,0,10,25,10_8
fungus,0.1895,0,26,0_1
fungus,0.1417,0,26,0_2
fungus,0.2357,0,26,0_3
fungus,0,0,26,0_4
fungus,0,0,26,0_5
fungus,0,0,26,0_6
fungus,0.3896,1,26,1_1
fungus,0.1266,1,26,1_2
fungus,0,1,26,1_3
fungus,0,1,26,1_4
fungus,0,1,26,1_5
fungus,0,1,26,1_6
fungus,0,1,26,1_7
fungus,0.1996,5,26,5_1
fungus,0,5,26,5_2
fungus,0,5,26,5_3
fungus,0,5,26,5_4
fungus,0,5,26,5_5
fungus,0,10,26,10_1
fungus,0,10,26,10_2
fungus,0,10,26,10_3
fungus,0,10,26,10_4
fungus,0,10,26,10_5
fungus,0,10,26,10_6
fungus,0,10,26,10_7
fungus,0,10,26,10_8
fungus,0.173,0,27,0_1
fungus,0.2371,0,27,0_2
fungus,0,0,27,0_3
fungus,0,0,27,0_4
fungus,0,0,27,0_5
fungus,0,0,27,0_6
fungus,0.265,1,27,1_1
fungus,0,1,27,1_2
fungus,0,1,27,1_3
fungus,0,1,27,1_4
fungus,0,1,27,1_5
fungus,0,1,27,1_6
fungus,0,1,27,1_7
fungus,0,5,27,5_1
fungus,0,5,27,5_2
fungus,0,5,27,5_3
fungus,0,5,27,5_4
fungus,0,5,27,5_5
fungus,0,10,27,10_1
fungus,0,10,27,10_2
fungus,0,10,27,10_3
fungus,0,10,27,10_4
fungus,0,10,27,10_5
fungus,0,10,27,10_6
fungus,0,10,27,10_7
fungus,0,10,27,10_8
fungus,0.1365,0,28,0_1
fungus,0.2212,0,28,0_2
fungus,0,0,28,0_3
fungus,0,0,28,0_4
fungus,0,0,28,0_5
fungus,0,0,28,0_6
fungus,0.3404,1,28,1_1
fungus,0,1,28,1_2
fungus,0,1,28,1_3
fungus,0,1,28,1_4
fungus,0,1,28,1_5
fungus,0,1,28,1_6
fungus,0,1,28,1_7
fungus,0,5,28,5_1
fungus,0,5,28,5_2
fungus,0,5,28,5_3
fungus,0,5,28,5_4
fungus,0,5,28,5_5
fungus,0,10,28,10_1
fungus,0,10,28,10_2
fungus,0,10,28,10_3
fungus,0,10,28,10_4
fungus,0,10,28,10_5
fungus,0,10,28,10_6
fungus,0,10,28,10_7
fungus,0,10,28,10_8
fungus,0.1365,0,29,0_1
fungus,0.2114,0,29,0_2
fungus,0,0,29,0_3
fungus,0,0,29,0_4
fungus,0,0,29,0_5
fungus,0,0,29,0_6
fungus,0.3612,1,29,1_1
fungus,0,1,29,1_2
fungus,0,1,29,1_3
fungus,0,1,29,1_4
fungus,0,1,29,1_5
fungus,0,1,29,1_6
fungus,0,1,29,1_7
fungus,0,5,29,5_1
fungus,0,5,29,5_2
fungus,0,5,29,5_3
fungus,0,5,29,5_4
fungus,0,5,29,5_5
fungus,0,10,29,10_1
fungus,0,10,29,10_2
fungus,0,10,29,10_3
fungus,0,10,29,10_4
fungus,0,10,29,10_5
fungus,0,10,29,10_6
fungus,0,10,29,10_7
fungus,0,10,29,10_8
fungus,0,0,30,0_1
fungus,0.1726,0,30,0_2
fungus,0,0,30,0_3
fungus,0,0,30,0_4
fungus,0,0,30,0_5
fungus,0,0,30,0_6
fungus,0.3161,1,30,1_1
fungus,0,1,30,1_2
fungus,0,1,30,1_3
fungus,0,1,30,1_4
fungus,0,1,30,1_5
fungus,0,1,30,1_6
fungus,0,1,30,1_7
fungus,0,5,30,5_1
fungus,0,5,30,5_2
fungus,0,5,30,5_3
fungus,0,5,30,5_4
fungus,0,5,30,5_5
fungus,0,10,30,10_1
fungus,0,10,30,10_2
fungus,0,10,30,10_3
fungus,0,10,30,10_4
fungus,0,10,30,10_5
fungus,0,10,30,10_6
fungus,0,10,30,10_7
fungus,0,10,30,10_8
